,source,target
0,mrsmcpuffin,FAMU_MBB
1,mrsmcpuffin,KingJames
2,somenailstrips,WandaCo87259801
3,somenailstrips,Poshmarkapp
4,ja_corey14,originelllly
5,BIGGMIKE904,HCWillieSimmons
6,BIGGMIKE904,FAMU_MBB
7,BIGGMIKE904,KingJames
8,_kingfree,FAMU_MBB
9,_kingfree,KingJames
10,clubfmphilly,FOREXcom
11,smokectd,FAMU_MBB
12,smokectd,KingJames
13,TheBigMommaMia,BGirlVentures
15,kirnicholas,BGirlVentures
16,Ya_That_Is_All,Ya_That_Is_All
17,Ya_That_Is_All,BloodMoneyBMR
18,brendaleetorre,FAMU_MBB
19,brendaleetorre,KingJames
20,KayreeGale,FAMU_MBB
21,KayreeGale,KingJames
23,chrisc402,FAMU_MBB
24,chrisc402,KingJames
25,trentonbowdre,FAMU_MBB
26,trentonbowdre,KingJames
27,ArchieW36510942,FAMU_MBB
28,ArchieW36510942,KingJames
29,tr3tipton,FAMU_MBB
30,tr3tipton,KingJames
32,Arnaldopacheco_,FAMU_MBB
33,Arnaldopacheco_,KingJames
34,TheDirkaShow,FAMU_MBB
35,TheDirkaShow,KingJames
36,MtownDread,FAMU_MBB
37,MtownDread,KingJames
38,CoachesInc,HCWillieSimmons
39,yeonkishes,BGirlVentures
40,11Jacoby,FAMU_MBB
41,11Jacoby,KingJames
42,lickmyjayys_,FAMU_MBB
43,lickmyjayys_,KingJames
44,sylvest_2,ekene_ezigbo
46,tumisole,MerchSouth
47,forniaa,BGirlVentures
48,fadee2black5,FAMU_MBB
49,fadee2black5,KingJames
51,ZoePapiJay,FAMU_MBB
52,ZoePapiJay,KingJames
53,Deefree231,FAMU_MBB
54,Deefree231,KingJames
55,SwagOut_Kidd,FAMU_MBB
56,SwagOut_Kidd,KingJames
57,LB003,FAMU_MBB
58,LB003,KingJames
59,vincentmward,FAMU_MBB
60,vincentmward,KingJames
61,loreadekeye_,FAMU_MBB
62,loreadekeye_,KingJames
63,23Kcook,FAMU_MBB
64,23Kcook,KingJames
65,devone_jb,FAMU_MBB
66,devone_jb,KingJames
67,Jessejet2005,Poshmarkapp
68,Real_Life31,FAMU_MBB
69,Real_Life31,KingJames
70,finesse_father,FAMU_MBB
71,finesse_father,KingJames
72,CucchiaroArt,Poshmarkapp
73,Poshmark_Laura,Poshmarkapp
74,Poshmark_Laura,SheShePinkBout1
75,DonPopi4,FAMU_MBB
76,DonPopi4,KingJames
77,chandraboone,Poshmarkapp
78,rebeccaf1234,Poshmarkapp
79,diverse_curves,Poshmarkapp
80,DevinZ356,FAMU_MBB
81,DevinZ356,KingJames
82,CountryBoi39,HCWillieSimmons
83,DavisLorianne,Poshmarkapp
84,Only_1_Jack,FAMU_MBB
85,Only_1_Jack,KingJames
86,Spoiledinpdx2,Poshmarkapp
87,Spoiledinpdx2,925profitz
88,Mr_Gryffin,FAMU_MBB
89,Mr_Gryffin,KingJames
90,ThoughtsFromDev,FAMU_MBB
91,ThoughtsFromDev,KingJames
92,Resale116,Poshmarkapp
93,Resale116,antoniomottola1
94,Aaron68851088,Poshmarkapp
95,Aaron68851088,cloth_couture
96,awilda356,Poshmarkapp
97,awilda356,julialee644
98,awilda356,Corie24363692
99,Jdaddy_SZN,FAMU_MBB
100,Jdaddy_SZN,KingJames
101,Telitabobita,Poshmarkapp
102,Samanth91519692,Poshmarkapp
103,valzee33,Poshmarkapp
104,TheorinR,FAMU_MBB
105,TheorinR,KingJames
106,Bailyan12,Poshmarkapp
107,MarlaPerkins37,FAMU_MBB
108,MarlaPerkins37,KingJames
109,CeliaFo55956565,Poshmarkapp
110,CeliaFo55956565,celesteshelley1
111,CeliaFo55956565,dulcemgsb
112,iSeeU_SMiTTy311,FAMU_MBB
113,iSeeU_SMiTTy311,KingJames
114,iamjalenmacon,FAMU_MBB
115,iamjalenmacon,KingJames
116,Terrell_B99,FAMU_MBB
117,Terrell_B99,KingJames
119,kinglocke84,FAMU_MBB
120,kinglocke84,KingJames
121,TallahasseeTrez,FAMU_MBB
122,TallahasseeTrez,KingJames
123,3CJACK,FAMU_MBB
124,3CJACK,KingJames
125,DaviOcm,FAMU_MBB
126,DaviOcm,KingJames
127,llyakomarov,mbsjq
128,llyakomarov,mbsjq
129,llyakomarov,niftygateway
130,NicMynhardt,FAMU_MBB
131,NicMynhardt,KingJames
132,EdC75,FAMU_MBB
133,EdC75,KingJames
134,lpjortiz,FAMU_MBB
135,lpjortiz,KingJames
136,tcain2019,FAMU_MBB
137,tcain2019,KingJames
138,Rell_no_Yasuke,FAMU_MBB
139,Rell_no_Yasuke,KingJames
140,AyeYoo_Biggs,FAMU_MBB
141,AyeYoo_Biggs,KingJames
142,headkynfok,HCWillieSimmons
143,KiKallin,FAMU_MBB
144,KiKallin,KingJames
145,DOOWYAH2,FAMU_MBB
146,DOOWYAH2,KingJames
147,iBiteiStrike,FAMU_MBB
148,iBiteiStrike,KingJames
149,JABGrfxDesigns,FAMU_MBB
150,JABGrfxDesigns,KingJames
151,apertarabraba,FAMU_MBB
152,apertarabraba,KingJames
153,_vontrell_,FAMU_MBB
154,_vontrell_,KingJames
155,LinderJ87,FAMU_MBB
156,LinderJ87,KingJames
157,TheThomasMiles,FAMU_MBB
158,TheThomasMiles,KingJames
159,Franky_974,FAMU_MBB
160,Franky_974,KingJames
161,DeuceSkywalker,HCWillieSimmons
162,xkdjr23,FAMU_MBB
163,xkdjr23,KingJames
164,CulturedModesty,FAMU_MBB
165,CulturedModesty,KingJames
166,_AgentDre,FAMU_MBB
167,_AgentDre,KingJames
168,guitomaaz,FAMU_MBB
169,guitomaaz,KingJames
170,iDrankin211,FAMU_MBB
171,iDrankin211,KingJames
172,KarlDeshawn,FAMU_MBB
173,KarlDeshawn,KingJames
174,fkerley99,FAMU_MBB
175,fkerley99,KingJames
176,Gwormz,FAMU_MBB
177,Gwormz,KingJames
178,DJ_dRae12,FAMU_MBB
179,DJ_dRae12,KingJames
180,WKing_jr,FAMU_MBB
181,WKing_jr,KingJames
182,KingKD__,FAMU_MBB
183,KingKD__,KingJames
184,GreDeeArts,FAMU_MBB
185,GreDeeArts,KingJames
186,rjclifestyle,FAMU_MBB
187,rjclifestyle,KingJames
188,churchboy74,FAMU_MBB
189,churchboy74,KingJames
190,JarretSigrah,FAMU_MBB
191,JarretSigrah,KingJames
192,RostafarianJam,FAMU_MBB
193,RostafarianJam,KingJames
194,amiri0v0,FAMU_MBB
195,amiri0v0,KingJames
196,morriscthomas,FAMU_MBB
197,morriscthomas,KingJames
198,jamaalaldin_tv,jamaalaldin_tv
199,Ben_da_MaYne,FAMU_MBB
200,Ben_da_MaYne,KingJames
201,Godswarrior1993,FAMU_MBB
202,Godswarrior1993,KingJames
203,Quie__Quie,FAMU_MBB
204,Quie__Quie,KingJames
205,KhalilSmitts8,FAMU_MBB
206,KhalilSmitts8,KingJames
207,_MasterWilliam,FAMU_MBB
208,_MasterWilliam,KingJames
209,6ixthborn,FAMU_MBB
210,6ixthborn,KingJames
212,KelliBielema,BGirlVentures
213,SawyerAndrew,BGirlVentures
214,seventwelveco,swooshsupply
215,coachjb_,FAMU_MBB
216,coachjb_,KingJames
218,drjsportcrisis,BGirlVentures
219,margaridagrib_,footlocker
222,SpinningBy,BGirlVentures
223,econnis3,BGirlVentures
227,menswear_bot,GabrielsChrista
229,soleilbeez,BGirlVentures
230,GoHamcobe,FAMU_MBB
231,GoHamcobe,KingJames
232,King_Zach_,FAMU_MBB
233,King_Zach_,KingJames
234,C_money35,FAMU_MBB
235,C_money35,KingJames
236,TiaunaWest,BGirlVentures
237,SisiBloom,BGirlVentures
239,debo_oyinda,BGirlVentures
240,DeadsyDoll,BGirlVentures
241,swagafiedkicks,hoodsbasketball
242,swagafiedkicks,swooshsupply
243,CentralChartsEN,Nike
245,t_ojewunmi,Cf00tStore
249,Dude4One,FAMU_MBB
250,Dude4One,KingJames
251,artcgecko,eBay
252,TheScoutNet,121Performance
253,NBLengland,hoodsbasketball
254,OptionsProVol,MinteractApp
255,OptionsProOI,MinteractApp
256,OptionsMaxPain,MinteractApp
257,MITickWatcher,MinteractApp
259,ClingerChrissy,Poshmarkapp
260,ClingerChrissy,EvelandMarye
261,BrewtifulU,Poshmarkapp
262,JulieMa24681944,Poshmarkapp
263,JulieMa24681944,ByKimberli
264,jasbeststyle,Poshmarkapp
265,AddicatDesigns,Poshmarkapp
266,Jess37995247,Poshmarkapp
267,SuggsThosha,Poshmarkapp
268,Coloursxo,Coloursxo
269,UnparalleledS,Poshmarkapp
