user,degree,closeness,betweenness,listed,followers,tweets,non_tweets_sent,non_tweets_received,score
TheEconomist,0.0,0.0010141946270222425,0.0,1.0,0.27904036508847563,0.0,0.03508771929824561,0.009942004971002484,0.508372
Cristiano,0.0,0.0010141946270222425,0.0,0.7202945807128784,1.0,0.2765957446808511,0.0,0.0,0.4594858
YouTube,0.013197969543147208,0.014198724778311394,0.0,0.6800650417695492,0.7977255852900386,0.0,0.03508771929824561,0.09113504556752278,0.4158888
Poshmarkapp,1.0,1.0,0.0,0.0038973441277434123,0.001355944910894035,0.0,0.05263157894736842,1.0,0.27744246
KingJames,0.12081218274111677,0.1217033552426691,0.0,0.38321302900209064,0.5392892163653428,0.0,0.03508771929824561,0.09113504556752278,0.2657041
kanyewest,0.0,0.0010141946270222425,0.0,0.37610661344024504,0.33553480204750075,0.0,0.017543859649122806,0.004142502071251036,0.21319921
NBCNews,0.0,0.0010141946270222425,0.0,0.40643362900381136,0.09171898436624806,0.010638297872340425,0.0,0.0,0.20377654
Facebook,0.0010152284263959391,0.0022819379108000456,0.0,0.36733974000499,0.1451824541769961,0.0,0.03508771929824561,0.0008285004142502071,0.19231613
Patriots,0.0,0.0010141946270222425,0.0,0.11044195710340438,0.049913162803755795,0.0,0.017543859649122806,1.0,0.18160608
instagram,0.0010152284263959391,0.0022819379108000456,0.0,0.2718074901275886,0.37913324891413386,0.0,0.03508771929824561,0.09113504556752278,0.17962986
PSG_inside,0.0,0.0010141946270222425,0.0,0.05737613242366626,0.09647271144901497,0.0,0.017543859649122806,1.0,0.16059086
Jumpman23,0.007106598984771574,0.00811355701617794,0.0,0.053375547391876665,0.04557693588697372,0.0,0.08771929824561403,1.0,0.16055559
KyrieIrving,0.0010152284263959391,0.002028389254044485,0.0,0.05811602556933057,0.046846455152316654,0.0,0.017543859649122806,1.0,0.15644649
barstoolsports,0.0,0.0010141946270222425,0.0,0.04415269329708431,0.030587713821053436,0.0,0.03508771929824561,1.0,0.1494926
CindysArtLife,0.0,0.0,0.0,0.0003957567988437019,2.36450610412643e-05,0.0,0.2982456140350877,1.0,0.14666724
