user,degree,closeness,betweenness,listed,followers,tweets,non_tweets_sent,non_tweets_received,score
Cristiano,0.0004643603436266543,0.0004643603436266543,0.0,83718,91591008,0.0,1.0,5.0,8620316.0
YouTube,0.0027861620617599257,0.0027861620617599257,0.0,79416,73067041,0.0,1.0,2764.0,6883265.0
CNN,0.00023218017181332715,0.00023218017181332715,0.0,147546,53245227,1.0,0.0,0.0,5058592.0
KingJames,0.00023218017181332715,0.00023218017181332715,0.0,44537,49392348,0.0,1.0,6.0,4648393.0
realmadrid,0.0018574413745066172,0.00188065939168795,0.0,40367,36417474,1.0,0.0,0.0,3430906.8
FCBarcelona,0.00023218017181332715,0.00023218017181332715,0.0,30597,35911241,0.0,1.0,2764.0,3379149.8
ChampionsLeague,0.008358486185279778,0.00836459618980118,0.0,22245,33328206,0.0,1.0,1.0,3132837.0
premierleague,0.0006965405154399814,0.0006965405154399814,0.0,27382,25531188,0.0,3.0,1.0,2404866.2
ManUtd,0.0004643603436266543,0.0004643603436266543,0.0,22098,24862361,1.0,0.0,0.0,2339683.0
Reuters,0.00023218017181332715,0.00023218017181332715,0.0,126276,23242406,17.0,0.0,0.0,2237745.8
ImRo45,0.00023218017181332715,0.00023218017181332715,0.0,3861,18582851,1.0,0.0,0.0,1742694.9
SergioRamos,0.0006965405154399814,0.0006965405154399814,0.0,23616,18317758,0.0,1.0,4.0,1727308.5
LFC,0.0011609008590666358,0.0011609008590666356,0.0,24903,16779245,0.0,3.0,122.0,1583810.1
ChelseaFC,0.006965405154399814,0.006965405154399814,0.0,23577,16357092,0.0,2.0,6.0,1543614.2
FortniteGame,0.00023218017181332715,0.00023218017181332715,0.0,5904,12678316,0.0,1.0,42.0,1190538.0
Benzema,0.6417459948920362,0.6417459948920362,0.0,5247,12130878,0.0,38.0,1.0,1138937.6
realmadriden,0.005804504295333178,0.005871911441988661,0.0,9582,11977764,0.0,2.0,2.0,1126664.1
ManCity,0.007197585326213142,0.007197585326213141,0.0,15084,9324256,1.0,0.0,0.0,880713.3
ToniKroos,0.004179243092639889,0.004179243092639889,0.0,6294,8860277,0.0,1.0,1.0,833044.2
Nike,0.00023218017181332715,0.00023218017181332715,0.0,10856,8389947,0.0,1.0,2764.0,791504.2
EASPORTSFIFA,0.00023218017181332715,0.00023218017181332715,0.0,7032,8250542,1.0,0.0,0.0,776276.75
EuropaLeague,0.00023218017181332715,0.00023218017181332715,0.0,8127,7963892,0.0,2.0,7.0,749947.9
acmilan,0.0006965405154399814,0.0006965405154399814,0.0,10915,7753560,0.0,1.0,2764.0,731915.4
NaguibSawiris,0.00023218017181332715,0.00023218017181332715,0.0,5369,7218732,0.0,1.0,1.0,678821.25
hazardeden10,0.00023218017181332715,0.00023218017181332715,0.0,8743,7035699,0.0,1.0,42.0,663293.2
NHL,0.00023218017181332715,0.00023218017181332715,0.0,20761,6350203,0.0,1.0,15.0,604819.56
LaLiga,0.00023218017181332715,0.00023218017181332715,0.0,7011,5823349,2.0,0.0,0.0,548886.44
FCBayern,0.0009287206872533086,0.0009287206872533086,0.0,7308,5414069,0.0,3.0,120.0,510701.78
