user,degree,closeness,betweenness,listed,followers,tweets,non_tweets_sent,non_tweets_received,score
Cristiano,0.0002880184331797235,0.0002880184331797235,0.0,83722,91604754,26.0,0.0,0.0,8621607.0
YouTube,0.004032258064516129,0.004032258064516129,0.0,79046,73075456,0.0,2.0,110.0,6883551.0
KingJames,0.03456221198156682,0.03456221198156682,0.0,44542,49401456,0.0,2.0,110.0,4649261.5
instagram,0.000576036866359447,0.0006480414746543779,0.0,31593,34730408,0.0,2.0,110.0,3268679.5
kanyewest,0.0002880184331797235,0.0002880184331797235,0.0,43716,30736583,0.0,1.0,5.0,2900321.0
TheEconomist,0.0002880184331797235,0.0002880184331797235,0.0,116233,25561424,0.0,2.0,12.0,2450190.0
KDTrey5,0.000576036866359447,0.000576036866359447,0.0,23857,18866301,0.0,2.0,124.0,1778826.4
LFC,0.000576036866359447,0.000576036866359447,0.0,24916,16787760,0.0,2.0,110.0,1584612.5
ChelseaFC,0.001152073732718894,0.001152073732718894,0.0,23584,16370824,1.0,0.0,0.0,1544903.2
kobebryant,0.001152073732718894,0.001152073732718894,0.0,16521,15289807,0.0,2.0,110.0,1440269.1
Facebook,0.000576036866359447,0.0006480414746543779,0.0,42697,13299403,0.0,2.0,1.0,1266311.8
trvisXX,0.0014400921658986176,0.0014400921658986176,0.0,3432,10542559,2.0,0.0,0.0,989272.25
BleacherReport,0.0002880184331797235,0.0002880184331797235,0.0,17951,9533581,0.0,3.0,3.0,901694.5
PSG_inside,0.0002880184331797235,0.0002880184331797235,0.0,6669,8837359,0.0,1.0,1207.0,831224.5
NBCNews,0.0002880184331797235,0.0002880184331797235,0.0,47241,8401895,1.0,0.0,0.0,809684.2
Nike,0.030817972350230413,0.0309051039770747,0.0,10860,8392384,0.0,2.0,124.0,791410.5
JYPETWICE,0.0002880184331797235,0.0002880184331797235,0.0,12529,7548782,0.0,1.0,144.0,713182.06
warriors,0.0002880184331797235,0.0002880184331797235,0.0,10448,6681338,0.0,2.0,110.0,630920.3
TigerWoods,0.0002880184331797235,0.00038402457757296467,0.0,19868,6619954,0.0,2.0,36.0,629665.56
krungy21,0.0002880184331797235,0.0002880184331797235,0.0,5413,5745493,0.0,2.0,110.0,540842.2
WORLDSTAR,0.000576036866359447,0.0006480414746543779,0.0,4080,5431634,0.0,1.0,1207.0,510936.84
LeagueOfLegends,0.0002880184331797235,0.0002880184331797235,0.0,4274,4852055,0.0,2.0,124.0,456601.6
nikestore,0.0037442396313364054,0.0037442396313364054,0.0,9174,4657750,0.0,2.0,36.0,440731.5
Patriots,0.0002880184331797235,0.0002880184331797235,0.0,12837,4572283,0.0,1.0,1207.0,434620.25
KyrieIrving,0.000576036866359447,0.000576036866359447,0.0,6755,4291358,0.0,1.0,1207.0,405394.56
Jumpman23,0.002304147465437788,0.002304147465437788,0.0,6204,4175064,0.0,5.0,1207.0,394236.94
adidas,0.0002880184331797235,0.0002880184331797235,0.0,4423,3876522,0.0,2.0,124.0,365284.56
celtics,0.0002880184331797235,0.0002880184331797235,0.0,12246,3656428,0.0,2.0,1.0,348392.06
nikefootball,0.001728110599078341,0.0017281105990783411,0.0,4883,3665143,0.0,2.0,124.0,345702.47
amazon,0.0008640552995391705,0.002304147465437788,0.0,15530,3604825,0.0,2.0,110.0,345141.72
drewbrees,0.0002880184331797235,0.0002880184331797235,0.0,11910,3230679,1.0,0.0,0.0,308346.84
barstoolsports,0.0002880184331797235,0.0002880184331797235,0.0,5132,2801980,0.0,2.0,1207.0,265093.03
nikebasketball,0.0008640552995391705,0.0008640552995391706,0.0,4753,2537803,0.0,2.0,124.0,240030.67
Etsy,0.0002880184331797235,0.0002880184331797235,0.0,14945,2434286,0.0,3.0,1.0,235192.12
ENHYPEN_members,0.000576036866359447,0.000576036866359447,0.0,7689,2253427,0.0,2.0,124.0,214794.27
49ers,0.0002880184331797235,0.0002880184331797235,0.0,10090,2200704,0.0,2.0,124.0,211003.36
AntDavis23,0.0002880184331797235,0.0002880184331797235,0.0,4441,2108106,25.0,0.0,0.0,199613.84
lolesports,0.0002880184331797235,0.0002880184331797235,0.0,3337,2013205,0.0,2.0,124.0,190208.98
peter_king,0.0002880184331797235,0.0002880184331797235,0.0,20827,1806671,0.0,2.0,110.0,179223.08
SInow,0.0002880184331797235,0.0002880184331797235,0.0,13932,1814416,0.0,2.0,124.0,176653.06
atptour,0.0002880184331797235,0.0002880184331797235,0.0,10048,1639558,0.0,2.0,110.0,158413.19
ENHYPEN,0.000576036866359447,0.000576036866359447,0.0,5262,1632679,0.0,2.0,110.0,155480.02
Saints,0.0002880184331797235,0.0002880184331797235,0.0,7539,1587010,0.0,1.0,5.0,152277.66
AmazonUK,0.001152073732718894,0.0012000768049155147,0.0,1976,1611469,0.0,2.0,1207.0,152056.25
footlocker,0.01238479262672811,0.01263238742016331,0.0,3217,1559327,0.0,1.0,144.0,147634.52
marchmadness,0.0002880184331797235,0.0002880184331797235,0.0,3972,1484420,0.0,2.0,124.0,140975.88
Saweetie,0.0002880184331797235,0.0002880184331797235,0.0,581,1459301,0.0,2.0,124.0,137001.08
JackPosobiec,0.001152073732718894,0.001152073732718894,0.0,5754,1232032,0.0,2.0,110.0,118182.53
Timberwolves,0.0002880184331797235,0.0002880184331797235,0.0,5763,1063682,0.0,1.0,144.0,102419.836
desusnice,0.0002880184331797235,0.0002880184331797235,0.0,2216,1028340,0.0,2.0,124.0,97410.38
BenjaminEnfield,0.000576036866359447,0.0,0.0,3034,1020795,0.0,3.0,121.0,97094.45
keinishikori,0.0002880184331797235,0.0002880184331797235,0.0,4409,1001252,0.0,1.0,144.0,95923.87
Channel4,0.0002880184331797235,0.0002880184331797235,0.0,2040,986850,0.0,2.0,110.0,93437.695
kicksonfire,0.0002880184331797235,0.0002880184331797235,0.0,2967,979166,0.0,2.0,124.0,93162.88
UnderArmour,0.0002880184331797235,0.0002880184331797235,0.0,3288,950386,0.0,2.0,1207.0,90753.17
KALIUCHIS,0.0002880184331797235,0.0002880184331797235,0.0,746,823950,0.0,2.0,110.0,77558.35
Nationals,0.0008640552995391705,0.0008640552995391706,0.0,5938,766034,0.0,1.0,8.0,74603.06
HYPEBEAST,0.02131336405529954,0.02131336405529954,0.0,4994,749960,1.0,0.0,0.0,72644.83
