user,degree,closeness,betweenness,listed,followers,tweets,non_tweets_sent,non_tweets_received,score
CNN,0.0,0.00036179450072358903,0.0,1.0,0.5813368382188784,0.038461538461538464,0.0,0.0,0.5356447
Reuters,0.0,0.00036179450072358903,0.0,0.8558415680533529,0.25376296764852724,0.6538461538461539,0.0,0.0,0.4835166
YouTube,0.003981179876945349,0.004341534008683068,0.0,0.538245699646212,0.7977534323020007,0.0,0.02631578947368421,0.9999999999999999,0.45753688
Cristiano,0.0003619254433586681,0.0007235890014471781,0.0,0.5674027083079175,1.0,0.0,0.02631578947368421,0.001808972503617945,0.36739364
FCBarcelona,0.0,0.00036179450072358903,0.0,0.20737261599772275,0.3920826048775443,0.0,0.02631578947368421,0.9999999999999999,0.26071322
Benzema,1.0,1.0,0.0,0.03556179089910943,0.13244616764126016,0.0,1.0,0.000361794500723589,0.25765973
KingJames,0.0,0.00036179450072358903,0.0,0.30185162593360715,0.539270710941406,0.0,0.02631578947368421,0.0021707670043415337,0.19723214
realmadrid,0.0025334781035106766,0.0029305354558610717,0.0,0.2735892535209358,0.39760970858624023,0.038461538461538464,0.0,0.0,0.17142801
Nike,0.0,0.00036179450072358903,0.0,0.07357705393572174,0.09160230008605212,0.0,0.02631578947368421,0.9999999999999999,0.16858092
acmilan,0.0007238508867173363,0.001085383502170767,0.0,0.07397692922885066,0.08465416168364476,0.0,0.02631578947368421,0.9999999999999999,0.16822876
BenAbouna,0.0,0.0,0.0,0.0,5.895775270865018e-07,0.0,0.3684210526315789,0.9999999999999999,0.152066
GettyImages,0.0,0.00036179450072358903,0.0,0.04135659387580822,0.01122039185331381,0.0,0.02631578947368421,0.9999999999999999,0.14564237
Ageless_2u,0.0,0.0,0.0,0.03649031488484947,3.322378546155972e-05,0.0,0.02631578947368421,0.9999999999999999,0.14226721
Alexis_Sanchez,0.0,0.00036179450072358903,0.0,0.025734347254415573,0.0318983605901575,0.0,0.02631578947368421,0.9999999999999999,0.14010867
NYIslanders,0.0,0.00036179450072358903,0.0,0.027401623900342943,0.006063160698045817,0.0,0.02631578947368421,0.9999999999999999,0.13848574
Carra23,0.0,0.00036179450072358903,0.0,0.024839711005381373,0.01834371120798234,0.0,0.02631578947368421,0.9999999999999999,0.13841103
shattawalegh,0.04125950054288817,0.04015918958031838,0.0,0.0027516842205142803,0.030975944712825956,0.0,0.02631578947368421,0.9999999999999999,0.13516033
sacbee_news,0.0003619254433586681,0.0,0.0,0.020773182600680465,0.0024691288472335625,0.0,0.02631578947368421,0.9999999999999999,0.13503298
NDJ_Official,0.0003619254433586681,0.0007235890014471781,0.0,0.016787984764073578,0.008982049853627553,0.0,0.02631578947368421,0.9999999999999999,0.13373733
LaLigaEN,0.0,0.00036179450072358903,0.0,0.016421997207650495,0.00896120719623481,0.0,0.02631578947368421,0.9999999999999999,0.1335066
indiatvnews,0.0,0.0,0.0,0.010206986295799275,0.01690231425338173,0.0,0.02631578947368421,0.9999999999999999,0.1312784
samyezz22,0.0,0.0,0.0,2.0332642023504535e-05,1.4739438177162545e-06,0.0,0.10526315789473684,0.9999999999999999,0.13111265
