Source,Target,type_of_content
mrsmcpuffin,FAMU_MBB,Retweet
mrsmcpuffin,KingJames,Retweet
somenailstrips,WandaCo87259801,Retweet
somenailstrips,Poshmarkapp,Retweet
ja_corey14,originelllly,Retweet
BIGGMIKE904,HCWillieSimmons,Retweet
BIGGMIKE904,FAMU_MBB,Retweet
BIGGMIKE904,KingJames,Retweet
_kingfree,FAMU_MBB,Retweet
_kingfree,KingJames,Retweet
clubfmphilly,FOREXcom,Retweet
smokectd,FAMU_MBB,Retweet
smokectd,KingJames,Retweet
TheBigMommaMia,BGirlVentures,Retweet
MarcoDaCostaFX,MarcoDaCostaFX,Tweet
kirnicholas,BGirlVentures,Retweet
Ya_That_Is_All,Ya_That_Is_All,Retweet
Ya_That_Is_All,BloodMoneyBMR,Retweet
brendaleetorre,FAMU_MBB,Retweet
brendaleetorre,KingJames,Retweet
KayreeGale,FAMU_MBB,Retweet
KayreeGale,KingJames,Retweet
TheKitmanUK,TheKitmanUK,Tweet
chrisc402,FAMU_MBB,Retweet
chrisc402,KingJames,Retweet
trentonbowdre,FAMU_MBB,Retweet
trentonbowdre,KingJames,Retweet
ArchieW36510942,FAMU_MBB,Retweet
ArchieW36510942,KingJames,Retweet
tr3tipton,FAMU_MBB,Retweet
tr3tipton,KingJames,Retweet
Ronniemarkets,Ronniemarkets,Tweet
Arnaldopacheco_,FAMU_MBB,Retweet
Arnaldopacheco_,KingJames,Retweet
TheDirkaShow,FAMU_MBB,Retweet
TheDirkaShow,KingJames,Retweet
MtownDread,FAMU_MBB,Retweet
MtownDread,KingJames,Retweet
CoachesInc,HCWillieSimmons,Retweet
yeonkishes,BGirlVentures,Retweet
11Jacoby,FAMU_MBB,Retweet
11Jacoby,KingJames,Retweet
lickmyjayys_,FAMU_MBB,Retweet
lickmyjayys_,KingJames,Retweet
sylvest_2,ekene_ezigbo,Retweet
BBetta4me,BBetta4me,Tweet
tumisole,MerchSouth,Retweet
forniaa,BGirlVentures,Retweet
fadee2black5,FAMU_MBB,Retweet
fadee2black5,KingJames,Retweet
Mens_Clothing_,Mens_Clothing_,Tweet
ZoePapiJay,FAMU_MBB,Retweet
ZoePapiJay,KingJames,Retweet
Deefree231,FAMU_MBB,Retweet
Deefree231,KingJames,Retweet
SwagOut_Kidd,FAMU_MBB,Retweet
SwagOut_Kidd,KingJames,Retweet
LB003,FAMU_MBB,Retweet
LB003,KingJames,Retweet
vincentmward,FAMU_MBB,Retweet
vincentmward,KingJames,Retweet
loreadekeye_,FAMU_MBB,Retweet
loreadekeye_,KingJames,Retweet
23Kcook,FAMU_MBB,Retweet
23Kcook,KingJames,Retweet
devone_jb,FAMU_MBB,Retweet
devone_jb,KingJames,Retweet
Jessejet2005,Poshmarkapp,Mention
Real_Life31,FAMU_MBB,Retweet
Real_Life31,KingJames,Retweet
finesse_father,FAMU_MBB,Retweet
finesse_father,KingJames,Retweet
CucchiaroArt,Poshmarkapp,Mention
Poshmark_Laura,Poshmarkapp,Mention
Poshmark_Laura,SheShePinkBout1,Mention
DonPopi4,FAMU_MBB,Retweet
DonPopi4,KingJames,Retweet
chandraboone,Poshmarkapp,Mention
rebeccaf1234,Poshmarkapp,Mention
diverse_curves,Poshmarkapp,Mention
DevinZ356,FAMU_MBB,Retweet
DevinZ356,KingJames,Retweet
CountryBoi39,HCWillieSimmons,Retweet
DavisLorianne,Poshmarkapp,Mention
Only_1_Jack,FAMU_MBB,Retweet
Only_1_Jack,KingJames,Retweet
Spoiledinpdx2,Poshmarkapp,Mention
Spoiledinpdx2,925profitz,Mention
Mr_Gryffin,FAMU_MBB,Retweet
Mr_Gryffin,KingJames,Retweet
ThoughtsFromDev,FAMU_MBB,Retweet
ThoughtsFromDev,KingJames,Retweet
Resale116,Poshmarkapp,Mention
Resale116,antoniomottola1,Mention
Aaron68851088,Poshmarkapp,Mention
Aaron68851088,cloth_couture,Mention
awilda356,Poshmarkapp,Mention
awilda356,julialee644,Mention
awilda356,Corie24363692,Mention
